Company,Ticker,Sector,Last Sale,Net Change,% Change,Market Cap,Volume,52 wk high,52 wk low,beta,P/E,Avg Volume
"ASSOCIATED CAPITAL GROUP, INC. (XNYS:AC)",AC,Finance,$36.78,-0.74,-1.97%,820383270,12335,$45.22,$24.19,1.34,43.49,"13,253"
"ARCOSA, INC. (XNYS:ACA)",ACA,Capital Goods,$57.41,-0.12,-0.21%,2771029425,96993,$68.46,$28.14,#FIELD!,26.36,"268,079"
Aurora Cannabis Inc. (XNYS:ACB),ACB,Consumer Durables,$11.19,0.15,1.36%,2208803265,11647805,$19.68,$3.71,3.24,0,"29,680,665"
"AMERICAN CAMPUS COMMUNITIES, INC. (XNYS:ACC)",ACC,Consumer Services,$41.75,0.185,0.45%,5745451639,231270,$46.07,$20.13,0.93,81.83,"957,426"
ACCO BRANDS CORPORATION (XNYS:ACCO),ACCO,Consumer Durables,$8.35,-0.21,-2.45%,789048589,309501,$9.56,$3.51,2.26,13.24,"500,051"
"ACCEL ENTERTAINMENT, INC. (XNYS:ACEL)",ACEL,Consumer Services,$11.27,-0.46,-3.92%,1090742956,122628,$15.11,$5.22,1.29,0,"208,913"
Aluminum Corporation of China Limited (XNYS:ACH),ACH,Basic Industries,$11.96,-0.395,-3.20%,8140242205,187658,$13.45,$4.60,1.94,0,"160,266"
"ALBERTSONS COMPANIES, INC. (XNYS:ACI)",ACI,Consumer Services,$17.02,0.36,2.16%,7923376051,1122477,$20.62,$12.91,#FIELD!,7.53,"2,702,289"
ATLAS CREST INVESTMENT CORP. (XNYS:ACIC),ACIC,Finance,$13.02,0.17,1.32%,813750000,4766539,$18.60,$9.73,#FIELD!,0,"5,855,509"
AECOM (XNYS:ACM),ACM,Consumer Services,$58.27,-0.35,-0.60%,8610821106,340694,$60.59,$21.76,1.61,41.55,"1,029,690"
ACCENTURE PUBLIC LIMITED COMPANY (XNYS:ACN),ACN,Miscellaneous,$261.04,2.8786,1.12%,1.73E+11,968585,$271.18,$137.15,1.09,31.65,"1,831,770"
Ascendant Digital Acquisition Corp. (XNYS:ACND),ACND,Finance,$9.99,-0.605,-5.71%,516723750,8716697,$11.32,$9.57,#FIELD!,0,"131,969"
Aberdeen Inc Credit Str (XNYS:ACP),ACP,,$11.24,0.08,0.72%,195936759,52340,$11.63,$5.30,#FIELD!,#FIELD!,"107,973"
ARES COMMERCIAL REAL ESTATE CORPORATION (XNYS:ACRE),ACRE,Consumer Services,$14.18,0.04,0.28%,474715785,164584,$16.49,$2.78,1.37,22.65,"325,103"
VA Dvsfd Inc & Conv (XNYS:ACV),ACV,,$34.40,-0.2198,-0.64%,356176919,27293,$35.99,$11.51,1.21,#FIELD!,"48,238"
AGREE REALTY CORPORATION (XNYS:ADC),ADC,Consumer Services,$63.57,-1.2,-1.85%,4034882174,248216,$77.66,$45.23,0.32,37.12,"542,401"
ADC Therapeutics Ltd (XNYS:ADCT),ADCT,Health Care,$27.17,-0.15,-0.55%,2084445666,151092,#FIELD!,#FIELD!,#FIELD!,#FIELD!,#FIELD!
ARCHER-DANIELS-MIDLAND COMPANY (XNYS:ADM),ADM,Consumer Non-Durables,$57.54,0.24,0.42%,32131145818,1264619,$58.68,$28.92,0.88,18.2,"2,670,819"
ADIENT PUBLIC LIMITED COMPANY (XNYS:ADNT),ADNT,Capital Goods,$37.83,0.42,1.12%,3562455223,331622,$40.45,$5.90,3.34,0,"967,463"
ALLIANCE DATA SYSTEMS CORPORATION (XNYS:ADS),ADS,Miscellaneous,$99.21,-0.395,-0.40%,4922729082,281156,$100.69,$20.51,2.64,16.2,"1,054,586"
ADT INC. (XNYS:ADT),ADT,Consumer Services,$7.25,-0.49,-6.33%,5984572139,5025125,$17.21,$3.41,#FIELD!,0,"4,657,798"
Adams Diversified Equity (XNYS:ADX),ADX,,$17.95,0.02,0.11%,1992178991,34003,$18.18,$10.16,0.93,#FIELD!,"185,958"
Aegon NV (XNYS:AEB),AEB,Finance,$24.96,0.13,0.52%,0,5983,$25.44,$11.51,1.88,0,"18,079"
AMEREN CORPORATION (XNYS:AEE),AEE,Public Utilities,$71.84,0.35,0.49%,18201030743,658052,$87.66,$58.74,0.22,20.41,"1,516,492"
Aegon Funding Company LLC (XNYS:AEFC),AEFC,Finance,$25.57,0.3,1.19%,0,24378,$27.63,$11.05,#FIELD!,0,"83,917"
Aegon NV (XNYS:AEG),AEG,Finance,$4.89,0.025,0.51%,9909317147,1238486,$4.94,$1.80,1.42,0,"2,487,658"
AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY (XNYS:AEL),AEL,Finance,$28.25,0.15,0.53%,2704107572,142866,$34.25,$9.07,1.24,4.06,"742,648"
AGNICO EAGLE MINES LIMITED (XNYS:AEM),AEM,Basic Industries,$57.65,2.29,4.14%,14026313892,1049847,$89.23,$31.00,0.71,26.24,"1,578,440"
Aenza SAA (XNYS:AENZ),AENZ,Basic Industries,$2.24,-0.03,-1.32%,390619199,13155,$2.56,$1.34,0.86,0,"41,031"
"AMERICAN EAGLE OUTFITTERS, INC. (XNYS:AEO)",AEO,Consumer Services,$25.46,-0.74,-2.82%,4231047390,3845907,$27.10,$6.54,1.43,0,"4,849,741"
AerCap Holdings NV (XNYS:AER),AER,Technology,$46.50,-0.88,-1.86%,6033682505,988430,$53.24,$10.42,2.44,0,"1,272,244"
THE AES CORPORATION (XNYS:AES),AES,Basic Industries,$27.04,0.035,0.13%,17991247610,2163242,$29.07,$8.11,0.8,488.95,"7,811,622"
AllianceBernstein Nat Mu (XNYS:AFB),AFB,,$14.42,0.0035,0.02%,414602584,34392,$14.64,$9.94,#FIELD!,#FIELD!,"54,805"
ARES CAPITAL CORPORATION (XNYS:AFC),AFC,,$25.30,0,0.00%,0,102727,$27.10,$14.61,1.25,0,"22,368"
"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFG)",AFG,Finance,$110.27,1.03,0.94%,9521263150,256315,$114.60,$43.00,0.92,12.96,"765,342"
"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGB)",AFGB,Finance,$26.90,-0.002,-0.01%,0,2351,$28.77,$14.74,0.92,0,"10,215"
"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGC)",AFGC,Finance,$25.76,0.0817,0.32%,25711722,6908,$27.74,$13.05,0.92,0,"11,380"
"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGD)",AFGD,Finance,$26.61,0.1583,0.60%,0,4310,$28.76,$25.33,0.92,0,"18,813"
"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFGE)",AFGE,Finance,$25.42,0.19,0.75%,0,4793,$27.87,$25.01,0.92,0,"7,786"
"ARMSTRONG FLOORING, INC. (XNYS:AFI)",AFI,Consumer Non-Durables,$5.57,0.41,7.95%,120458057,970485,$5.89,$1.12,2.87,0,"666,417"
AFLAC INCORPORATED (XNYS:AFL),AFL,Finance,$48.92,0.2,0.41%,33685680100,1314569,$50.15,$23.07,0.98,7.28,"4,167,294"
Apollo Senior Float Rate (XNYS:AFT),AFT,,$14.56,0.03,0.21%,226743768,50231,$15.05,$7.95,1.53,#FIELD!,"66,466"
First Majestic Silver Corp. (XNYS:AG),AG,Basic Industries,$17.81,0.9986,5.94%,3965274737,4389251,$24.01,$4.17,1.15,191.76,"14,361,502"
Altimeter Growth Corp 2 (XNYS:AGCB),AGCB,Finance,$11.62,-0.16,-1.36%,666407000,240138,$15.21,$11.25,#FIELD!,0,"507,925"
AGCO CORPORATION (XNYS:AGCO),AGCO,Capital Goods,$129.55,-2.165,-1.64%,9702857282,335584,$133.45,$35.33,1.34,23.31,"694,536"
Aberdeen Glbl Dyn Div (XNYS:AGD),AGD,,$11.01,0.02,0.18%,138170898,25407,$11.25,$5.22,#FIELD!,#FIELD!,"42,158"
ALAMOS GOLD INC. (XNYS:AGI),AGI,Basic Industries,$7.58,0.375,5.21%,2975284427,3176526,$11.58,$3.34,1.16,19.74,"3,486,541"
FEDERAL AGRICULTURAL MORTGAGE CORPORATION (XNYS:AGM),AGM,Finance,$88.31,-0.61,-0.69%,948095454,34305,$90.70,$40.05,1.11,0,"46,474"
ASSURED GUARANTY LTD. (XNYS:AGO),AGO,Finance,$44.10,-1.22,-2.69%,3563552538,223014,$45.72,$13.64,1.15,11.44,"521,657"
"Avangrid, Inc. (XNYS:AGR)",AGR,Public Utilities,$46.11,-0.115,-0.25%,14269086336,131524,$56.20,$35.62,0.21,24.63,"690,923"
Adecoagro SA (XNYS:AGRO),AGRO,Consumer Non-Durables,$8.16,-0.18,-2.16%,957486109,226675,$8.70,$3.31,1.33,0,"407,372"
"PLAYAGS, INC. (XNYS:AGS)",AGS,Consumer Durables,$8.61,0.475,5.84%,307764459,167755,$9.75,$0.70,#FIELD!,0,"382,633"
"ARGAN, INC. (XNYS:AGX)",AGX,Basic Industries,$51.77,-0.47,-0.90%,812269695,29663,$53.32,$28.65,0.56,321.16,"94,027"
A. H. BELO CORPORATION (XNYS:AHC),AHC,Consumer Services,$2.07,-0.02,-0.96%,44319576,46261,$3.16,$1.29,0.63,0,"188,299"
"ARMADA HOFFLER PROPERTIES, INC. (XNYS:AHH)",AHH,Finance,$12.74,-0.15,-1.16%,1021104898,66391,$17.97,$6.40,0.85,33.62,"248,644"
"ASHFORD HOSPITALITY TRUST, INC. (XNYS:AHT)",AHT,Consumer Services,$3.40,0.125,3.82%,234038660,3891105,$22.33,$1.27,2.42,0,"9,315,715"
"C3.AI, INC. (XNYS:AI)",AI,Technology,$103.32,-17.73,-14.65%,9903015567,8505077,$183.90,$90.03,#FIELD!,0,"2,971,280"
Arlington Asset Investment Corp. (XNYS:AIC),AIC,Consumer Services,$24.57,-0.0145,-0.06%,0,520,$25.00,$6.30,1.89,0,"2,358"
Apollo Tactical Income (XNYS:AIF),AIF,,$14.61,0.01,0.07%,211319420,20159,$14.99,$8.22,0.48,#FIELD!,"53,598"
"AMERICAN INTERNATIONAL GROUP, INC. (XNYS:AIG)",AIG,Finance,$45.73,0.42,0.93%,39397571816,1772667,$48.00,$16.07,1.38,0,"4,711,573"
ALBANY INTERNATIONAL CORP. (XNYS:AIN),AIN,Basic Industries,$84.15,0.15,0.18%,2721612287,93380,$84.89,$30.46,1.46,27.59,"160,514"
VA AI & Tech Opptys (XNYS:AIO),AIO,,$28.61,0.295,1.04%,981813277,78775,$29.97,$10.72,#FIELD!,#FIELD!,"122,710"
AAR CORP. (XNYS:AIR),AIR,Capital Goods,$41.13,-0.93,-2.21%,1451573780,90234,$43.04,$8.56,1.84,0,"187,732"
Apartment Income REIT Corp. (XNYS:AIRC),AIRC,Consumer Services,$41.81,0.28,0.67%,12730281164,296807,$43.53,$35.99,#FIELD!,0,"1,174,942"
"APPLIED INDUSTRIAL TECHNOLOGIES, INC. (XNYS:AIT)",AIT,Consumer Durables,$86.54,-0.72,-0.83%,3360525261,36126,$89.81,$30.66,1.5,0,"181,478"
APARTMENT INVESTMENT AND MANAGEMENT COMPANY (XNYS:AIV),AIV,Consumer Services,$4.80,-0.05,-1.03%,1461500827,1687067,$6.48,$2.64,0.96,4.86,"5,054,448"
Arlington Asset Investment Corp. (XNYS:AIW),AIW,Consumer Services,$25.00,-0.25,-0.99%,0,1525,$25.25,$6.42,1.89,0,734
"ASSURANT, INC. (XNYS:AIZ)",AIZ,Finance,$126.23,-0.07,-0.06%,7309102633,114089,$143.67,$76.27,0.58,14.38,"646,060"
"ASSURANT, INC. (XNYS:AIZN)",AIZN,Finance,$25.22,0.04,0.16%,0,3586,$27.95,$24.56,0.58,0,"14,063"
AJAX I (XNYS:AJAX),AJAX,Finance,$11.45,-0.155,-1.34%,1030993331,1406125,$13.85,$11.00,#FIELD!,0,"1,666,127"
ARTHUR J. GALLAGHER & CO. (XNYS:AJG),AJG,Finance,$121.77,-0.53,-0.43%,23591719800,370558,$129.12,$65.09,0.66,29.07,"881,956"
"AEROJET ROCKETDYNE HOLDINGS, INC. (XNYS:AJRD)",AJRD,Capital Goods,$51.52,-0.3,-0.58%,3994373524,371955,$53.53,$32.15,0.5,31.18,"1,069,103"
GREAT AJAX CORP. (XNYS:AJX),AJX,Consumer Services,$11.49,-0.065,-0.56%,264550578,15206,$14.28,$3.96,1.73,15.78,"64,882"
GREAT AJAX CORP. (XNYS:AJXA),AJXA,Consumer Services,$25.00,0,0.00%,0,3,$26.63,$14.61,1.73,0,"22,312"
AKORA RESOURCES LIMITED (XASX:AKO),AKO,,$14.50,-0.32,-2.16%,,4563,$0.63,$0.30,#FIELD!,#FIELD!,#FIELD!
AKORA RESOURCES LIMITED (XASX:AKO),AKO,,$16.26,-0.9647,-5.60%,,1820,$0.63,$0.30,#FIELD!,#FIELD!,#FIELD!
ACADIA REALTY TRUST (XNYS:AKR),AKR,Consumer Services,$18.54,-0.6,-3.14%,1599708011,195152,$24.15,$9.10,1.5,0,"906,416"
AIR LEASE CORPORATION (XNYS:AL),AL,Technology,$44.87,-0.91,-1.99%,5109522387,164439,$49.17,$8.41,2.23,10.43,"840,657"
ALBEMARLE CORPORATION (XNYS:ALB),ALB,Basic Industries,$155.71,2.7626,1.81%,18161140321,770454,$188.35,$48.89,1.56,43.47,"2,441,755"
Alcon Inc. (XNYS:ALC),ALC,Health Care,$70.30,-0.14,-0.20%,34392120657,423032,$76.26,$39.37,#FIELD!,0,"1,172,366"
"ALLETE, Inc. (XNYS:ALE)",ALE,Public Utilities,$61.89,-0.81,-1.29%,3225498169,204534,$77.39,$48.22,0.43,18.7,"373,415"
"ALEXANDER & BALDWIN, INC. (XNYS:ALEX)",ALEX,Consumer Services,$17.05,-0.59,-3.35%,1233641616,189141,$19.42,$8.32,1.43,200.05,"339,151"
ALAMO GROUP INC. (XNYS:ALG),ALG,Capital Goods,$155.39,-1.97,-1.25%,1845931420,11529,$163.15,$70.99,0.99,32.91,"52,435"
"ALASKA AIR GROUP, INC. (XNYS:ALK)",ALK,Transportation,$65.75,0.92,1.42%,8130893404,576276,$68.99,$20.02,1.85,0,"2,173,659"
THE ALLSTATE CORPORATION (XNYS:ALL),ALL,Finance,$110.95,1.23,1.12%,33603806615,573637,$114.89,$64.13,0.82,6.28,"1,969,112"
ALLEGION PUBLIC LIMITED COMPANY (XNYS:ALLE),ALLE,Consumer Services,$113.82,2.115,1.89%,10326696383,414450,$124.72,$77.37,1.16,32.92,"739,720"
ALLY FINANCIAL INC. (XNYS:ALLY),ALLY,Finance,$43.54,0.63,1.47%,16284461494,1663448,$43.89,$10.22,1.58,14.94,"4,106,758"
"ALLISON TRANSMISSION HOLDINGS, INC. (XNYS:ALSN)",ALSN,Capital Goods,$39.26,-0.95,-2.36%,4394958933,592077,$45.92,$26.15,1.19,15.45,"1,376,885"
ALTA EQUIPMENT GROUP INC. (XNYS:ALTG),ALTG,Capital Goods,$10.88,-0.03,-0.28%,326601302,11149,$11.12,$3.59,#FIELD!,0,"88,242"
Alussa Energy Acquisition Corp. (XNYS:ALUS),ALUS,Finance,$10.62,-0.2782,-2.55%,381720938,1239659,$15.28,$9.25,#FIELD!,112.11,"3,226,373"
"AUTOLIV, INC. (XNYS:ALV)",ALV,Capital Goods,$93.47,0.64,0.69%,8165772968,198834,$95.93,$38.16,1.89,43.83,"539,789"
"ALEXANDER'S, INC. (XNYS:ALX)",ALX,Consumer Services,$274.47,-3.215,-1.16%,1401772350,4297,$330.00,$223.03,0.62,33.91,"10,975"
ANTERO MIDSTREAM CORPORATION (XNYS:AM),AM,Public Utilities,$9.35,0.06,0.65%,4459080198,3618103,$9.52,$1.69,#FIELD!,0,"7,219,111"
"AMBAC FINANCIAL GROUP, INC. (XNYS:AMBC)",AMBC,Finance,$17.04,-0.355,-2.04%,780358683,177473,$20.04,$8.74,1.51,0,"383,943"
"AMC ENTERTAINMENT HOLDINGS, INC. (XNYS:AMC)",AMC,Consumer Services,$8.81,-0.3688,-4.02%,2987643031,52119989,$20.36,$1.91,1.37,0,"284,991,339"
Amcor plc (XNYS:AMCR),AMCR,Consumer Durables,$11.48,0.185,1.64%,17923693511,1985493,$12.40,$5.80,#FIELD!,22.9,"6,912,945"
"AMETEK, INC. (XNYS:AME)",AME,Capital Goods,$122.89,0.61,0.50%,28333996565,308090,$125.81,$54.82,1.34,32.4,"1,125,057"
"AFFILIATED MANAGERS GROUP, INC. (XNYS:AMG)",AMG,Finance,$140.34,-2.06,-1.45%,5981613582,227386,$148.99,$44.37,1.38,32.22,"554,907"
AMERICAN HOMES 4 RENT (XNYS:AMH),AMH,Consumer Services,$30.51,-0.1,-0.33%,9649188462,726605,$32.54,$17.50,0.46,110.94,"1,531,275"
"AssetMark Financial Holdings, Inc. (XNYS:AMK)",AMK,Finance,$24.62,-0.23,-0.93%,1783946858,22232,$29.45,$13.94,#FIELD!,0,"136,045"
"AMN HEALTHCARE SERVICES, INC. (XNYS:AMN)",AMN,Technology,$75.06,-1.23,-1.61%,3530134250,100604,$89.22,$36.65,0.39,51.45,"340,296"
America Mobile (XNYS:AMOV),AMOV,Public Utilities,$13.24,0.1499,1.15%,44191648767,1177,$17.13,$10.41,0.7,0,"7,444"
"AMERIPRISE FINANCIAL, INC. (XNYS:AMP)",AMP,Finance,$228.50,-0.585,-0.26%,26677313818,325180,$233.91,$80.01,1.69,19.3,"673,919"
Amplify Energy Corp (XNYS:AMPY),AMPY,Energy,$3.13,0.13,4.33%,117864692,391069,$4.37,$0.49,4.36,0,"1,326,207"
AM RESOURCES CORP. (XTSX:AMR),AMR,Energy,$16.07,1,6.64%,294223027,165498,$0.08,$0.03,1.99,#FIELD!,#FIELD!
"AMERESCO, INC. (XNYS:AMRC)",AMRC,Basic Industries,$57.90,-2.7,-4.46%,2771445743,437379,$70.26,$13.38,0.51,55.73,"434,262"
"AMNEAL PHARMACEUTICALS, INC. (XNYS:AMRX)",AMRX,Health Care,$5.10,-0.085,-1.64%,752166902,1312817,$6.18,$2.40,1.28,0,"1,837,514"
AMERICAN TOWER CORPORATION (XNYS:AMT),AMT,Consumer Services,$210.37,-3.4,-1.59%,93449164543,1417869,$272.20,$174.32,0.18,56.4,"2,047,380"
AMERICAN WELL CORPORATION (XNYS:AMWL),AMWL,Miscellaneous,$24.95,-0.07,-0.28%,5862154296,1307436,$43.75,$21.34,#FIELD!,0,"2,883,614"
America Mobile (XNYS:AMX),AMX,Public Utilities,$13.14,0.24,1.86%,43858206240,2091287,$17.32,$10.12,0.7,18.28,"4,054,461"
"AUTONATION, INC. (XNYS:AN)",AN,Consumer Durables,$76.82,0.59,0.77%,6749790990,362222,$82.90,$20.59,1.59,17.42,"673,557"
"ARISTA NETWORKS, INC. (XNYS:ANET)",ANET,Technology,$286.33,-1.615,-0.56%,21855637639,265144,$326.60,$156.63,1.18,36.05,"643,645"
ABERCROMBIE & FITCH CO. (XNYS:ANF),ANF,Consumer Services,$27.28,-0.34,-1.23%,1702017532,1124891,$28.69,$7.42,1.9,0,"1,261,587"
ANWORTH MORTGAGE ASSET CORPORATION (XNYS:ANH),ANH,Consumer Services,$2.88,0.07,2.49%,285995468,609931,$3.52,$0.79,2.17,0,"650,284"
"ANTHEM, INC. (XNYS:ANTM)",ANTM,Health Care,$315.58,4.095,1.32%,77286112806,719230,$340.98,$171.03,1.02,17.38,"1,456,419"
Aberdeen Tot Dynamic Div (XNYS:AOD),AOD,,$9.32,-0.01,-0.11%,982616911,366993,$9.49,$5.02,#FIELD!,#FIELD!,"336,389"
Aon plc (XNYS:AON),AON,Finance,$234.43,1.92,0.83%,52977510233,466846,$235.88,$143.93,0.84,27.55,"1,775,362"
one (XNYS:AONE),AONE,Finance,$12.69,-0.215,-1.67%,340909375,1644728,$15.10,$9.70,#FIELD!,0,"1,044,471"
A. O. SMITH CORPORATION (XNYS:AOS),AOS,Consumer Durables,$60.81,0.14,0.23%,9837968832,345608,$62.29,$33.81,1.04,28.57,"1,382,463"
AMPCO-PITTSBURGH CORPORATION (XNYS:AP),AP,Capital Goods,$8.18,0.15,1.87%,149790033,51968,$8.81,$1.94,1.16,11.61,"97,635"
ARTISAN PARTNERS ASSET MANAGEMENT INC. (XNYS:APAM),APAM,Finance,$48.96,-0.38,-0.77%,3839560851,255260,$54.93,$17.59,1.89,14.77,"746,111"
"AIR PRODUCTS AND CHEMICALS, INC. (XNYS:APD)",APD,Basic Industries,$266.24,5.05,1.93%,58912759194,333773,$327.89,$167.43,0.77,30.62,"1,446,766"
API GROUP CORPORATION (XNYS:APG),APG,Basic Industries,$19.80,0.25,1.28%,3872880000,348649,$12.99,$4.30,#FIELD!,52.86,#FIELD!
AMPHENOL CORPORATION (XNYS:APH),APH,Capital Goods,$129.67,-0.29,-0.22%,77692224231,657215,$138.20,$63.05,1.27,66.5,"1,602,659"
"Apple Hospitality REIT, Inc. (XNYS:APLE)",APLE,Consumer Services,$13.96,-0.19,-1.34%,3116044350,1233691,$15.15,$4.48,1.36,0,"2,054,027"
"APOLLO GLOBAL MANAGEMENT, INC. (XNYS:APO)",APO,Finance,$50.28,-0.1,-0.20%,11663251184,353430,$55.39,$19.46,1.64,146.33,"1,513,706"
"BLUE APRON HOLDINGS, INC. (XNYS:APRN)",APRN,Consumer Services,$9.20,0.07,0.77%,164396309,237642,$28.84,$2.01,-3.4,0,"1,076,440"
APOLLO STRATEGIC GROWTH CAPITAL (XNYS:APSG),APSG,Finance,$10.24,-0.17,-1.63%,1057213440,635110,$11.40,$9.65,#FIELD!,0,"1,313,440"
"PREFERRED APARTMENT COMMUNITIES, INC. (XNYS:APTS)",APTS,Consumer Services,$8.26,-0.08,-0.96%,412178584,350692,$10.40,$5.01,1.15,0,"467,631"
APTIV PLC (XNYS:APTV),APTV,Capital Goods,$154.73,-0.03,-0.02%,41781026119,411001,$159.50,$29.22,2.2,22.87,"2,035,442"
Algonquin Power & Utilities Corp. (XNYS:AQN),AQN,Public Utilities,$15.86,0.12,0.76%,9468916624,579379,$17.86,$9.53,0.22,18.96,"891,225"
Algonquin Power & Utilities Corp. (XNYS:AQNA),AQNA,Public Utilities,$27.59,-0.08,-0.29%,0,13713,$28.75,$17.79,0.22,0,"14,008"
Algonquin Power & Utilities Corp. (XNYS:AQNB),AQNB,Public Utilities,$27.76,0.0009,0.00%,0,4971,$28.66,$15.39,0.22,0,"14,177"
EVOQUA WATER TECHNOLOGIES CORP. (XNYS:AQUA),AQUA,Technology,$25.62,-0.47,-1.80%,3065457570,626265,$31.63,$7.09,1.9,47.3,"2,375,648"
ANTERO RESOURCES CORPORATION (XNYS:AR),AR,Energy,$9.81,0.005,0.05%,2953163342,4392423,$10.04,$0.64,4.92,0,"10,989,667"
"ARC DOCUMENT SOLUTIONS, INC. (XNYS:ARC)",ARC,Consumer Services,$2.09,-0.04,-1.88%,89435738,82594,$2.69,$0.34,1.43,15.99,"358,179"
"ARCH RESOURCES, INC. (XNYS:ARCH)",ARCH,Energy,$49.01,1.84,3.90%,746662400,174871,$58.88,$21.80,1.13,0,"423,819"
Arcos Dorados Holdings Inc. (XNYS:ARCO),ARCO,Consumer Services,$5.22,-0.275,-5.01%,1080889807,974108,$6.69,$2.92,1.41,0,"829,463"
Ardagh Group SA (XNYS:ARD),ARD,Consumer Durables,$25.39,-0.736,-2.82%,6002379780,72039,$26.48,$9.20,1.25,449.82,"141,010"
Ares Dynamic Crdt Alloc (XNYS:ARDC),ARDC,,$14.96,0.1,0.67%,342807487,60240,$15.25,$8.10,0.91,#FIELD!,"97,543"
"ALEXANDRIA REAL ESTATE EQUITIES, INC. (XNYS:ARE)",ARE,Consumer Services,$160.86,1.28,0.80%,21988395122,418216,$179.79,$109.22,0.72,27.23,"913,276"
Ares Management Corporation (XNYS:ARES),ARES,Finance,$52.49,0,0.00%,7549726458,390139,$53.55,$20.20,1.09,66.44,"633,217"
Argo Group US Inc (XNYS:ARGD),ARGD,Finance,$25.32,0,0.00%,0,1904,$26.02,$9.60,#FIELD!,0,"4,262"
"ARGO GROUP INTERNATIONAL HOLDINGS, LTD. (XNYS:ARGO)",ARGO,Finance,$47.25,0,0.00%,1638851319,52209,$57.70,$25.00,0.93,0,"140,315"
"APOLLO COMMERCIAL REAL ESTATE FINANCE, INC. (XNYS:ARI)",ARI,Consumer Services,$13.64,0.09,0.66%,1907538655,662805,$17.33,$4.12,1.35,0,"945,936"
"AMERICAN REALTY INVESTORS, INC. (XNYS:ARL)",ARL,Finance,$9.27,-0.5048,-5.17%,148216109,633,$14.00,$5.99,1.1,17.18,"4,559"
"ARLO TECHNOLOGIES, INC. (XNYS:ARLO)",ARLO,Consumer Non-Durables,$7.89,0.4821,6.51%,626129555,3564461,$10.49,$1.20,#FIELD!,0,"1,878,982"
ARAMARK (XNYS:ARMK),ARMK,Consumer Services,$38.91,0.31,0.80%,9882254759,362220,$40.21,$9.65,1.99,0,"1,910,540"
ARCONIC CORPORATION (XNYS:ARNC),ARNC,,$25.60,1.605,6.69%,2815264078,825438,$31.59,$5.80,#FIELD!,0,"1,122,766"
ARCHROCK INC. (XNYS:AROC),AROC,Public Utilities,$10.47,-0.2,-1.87%,1599690873,387377,$10.80,$2.09,2.21,0,"877,096"
"ARMOUR RESIDENTIAL REIT, INC. (XNYS:ARR)",ARR,Consumer Services,$12.29,0.12,0.99%,802423109,582849,$20.08,$4.95,1.03,0,"1,181,339"
